ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2013,2013,0,Total,36412,5673,"Census Tract 108, Hamilton County, OH",14000US39061010800
2013,2013,0,Total,18852,4267,"Census Tract 94, Hamilton County, OH",14000US39061009400
2013,2013,0,Total,12799,2927,"Census Tract 36, Hamilton County, OH",14000US39061003600
2013,2013,0,Total,20164,5162,"Census Tract 77, Hamilton County, OH",14000US39061007700
2013,2013,0,Total,23157,5524,"Census Tract 29, Hamilton County, OH",14000US39061002900
2013,2013,0,Total,31453,8657,"Census Tract 109, Hamilton County, OH",14000US39061010900
2013,2013,0,Total,41650,5670,"Census Tract 63, Hamilton County, OH",14000US39061006300
2013,2013,0,Total,33157,3093,"Census Tract 95, Hamilton County, OH",14000US39061009500
2013,2013,0,Total,46925,11113,"Census Tract 53.02, Hamilton County, OH",14000US39061005302
2013,2013,0,Total,94653,12636,"Census Tract 47.01, Hamilton County, OH",14000US39061004701
2013,2013,0,Total,22750,2817,"Census Tract 110, Hamilton County, OH",14000US39061011000
2013,2013,0,Total,36182,7017,"Census Tract 78, Hamilton County, OH",14000US39061007800
2013,2013,0,Total,58977,17123,"Census Tract 19, Hamilton County, OH",14000US39061001900
2013,2013,0,Total,33507,8992,"Census Tract 96, Hamilton County, OH",14000US39061009600
2013,2013,0,Total,21496,5967,"Census Tract 26, Hamilton County, OH",14000US39061002600
2013,2013,0,Total,53226,6738,"Census Tract 111, Hamilton County, OH",14000US39061011100
2013,2013,0,Total,27553,3174,"Census Tract 64, Hamilton County, OH",14000US39061006400
2013,2013,0,Total,42115,7421,"Census Tract 42, Hamilton County, OH",14000US39061004200
2013,2013,0,Total,36154,9097,"Census Tract 79, Hamilton County, OH",14000US39061007900
2013,2013,0,Total,28672,7371,"Census Tract 97, Hamilton County, OH",14000US39061009700
2013,2013,0,Total,43628,5713,"Census Tract 208.11, Hamilton County, OH",14000US39061020811
2013,2013,0,Total,41354,6485,"Census Tract 54, Hamilton County, OH",14000US39061005400
2013,2013,0,Total,8516,1877,"Census Tract 16, Hamilton County, OH",14000US39061001600
2013,2013,0,Total,31842,6289,"Census Tract 47.02, Hamilton County, OH",14000US39061004702
2013,2013,0,Total,62294,12185,"Census Tract 65, Hamilton County, OH",14000US39061006500
2013,2013,0,Total,46303,7214,"Census Tract 209.01, Hamilton County, OH",14000US39061020901
2013,2013,0,Total,25658,3422,"Census Tract 98, Hamilton County, OH",14000US39061009800
2013,2013,0,Total,9851,2288,"Census Tract 80, Hamilton County, OH",14000US39061008000
2013,2013,0,Total,11000,3220,"Census Tract 37, Hamilton County, OH",14000US39061003700
2013,2013,0,Total,40690,13985,"Census Tract 10, Hamilton County, OH",14000US39061001000
2013,2013,0,Total,55000,13286,"Census Tract 212.02, Hamilton County, OH",14000US39061021202
2013,2013,0,Total,30458,6575,"Census Tract 55, Hamilton County, OH",14000US39061005500
2013,2013,0,Total,54414,9707,"Census Tract 99.01, Hamilton County, OH",14000US39061009901
2013,2013,0,Total,17222,2721,"Census Tract 30, Hamilton County, OH",14000US39061003000
2013,2013,0,Total,31976,10987,"Census Tract 81, Hamilton County, OH",14000US39061008100
2013,2013,0,Total,56875,14509,"Census Tract 214.01, Hamilton County, OH",14000US39061021401
2013,2013,0,Total,12813,5799,"Census Tract 66, Hamilton County, OH",14000US39061006600
2013,2013,0,Total,133214,71935,"Census Tract 45, Hamilton County, OH",14000US39061004500
2013,2013,0,Total,34716,2069,"Census Tract 99.02, Hamilton County, OH",14000US39061009902
2013,2013,0,Total,106786,10461,"Census Tract 48, Hamilton County, OH",14000US39061004800
2013,2013,0,Total,51471,5531,"Census Tract 221.02, Hamilton County, OH",14000US39061022102
2013,2013,0,Total,22292,14869,"Census Tract 11, Hamilton County, OH",14000US39061001100
2013,2013,0,Total,42303,2517,"Census Tract 82.01, Hamilton County, OH",14000US39061008201
2013,2013,0,Total,42055,6340,"Census Tract 56, Hamilton County, OH",14000US39061005600
2013,2013,0,Total,26507,4032,"Census Tract 100.02, Hamilton County, OH",14000US39061010002
2013,2013,0,Total,58214,5586,"Census Tract 222, Hamilton County, OH",14000US39061022200
2013,2013,0,Total,23873,5746,"Census Tract 68, Hamilton County, OH",14000US39061006800
2013,2013,0,Total,19531,9139,"Census Tract 23, Hamilton County, OH",14000US39061002300
2013,2013,0,Total,21007,4258,"Census Tract 38, Hamilton County, OH",14000US39061003800
2013,2013,0,Total,25886,5752,"Census Tract 82.02, Hamilton County, OH",14000US39061008202
2013,2013,0,Total,33360,3178,"Census Tract 232.01, Hamilton County, OH",14000US39061023201
2013,2013,0,Total,37740,4007,"Census Tract 100.03, Hamilton County, OH",14000US39061010003
2013,2013,0,Total,26930,3916,"Census Tract 27, Hamilton County, OH",14000US39061002700
2013,2013,0,Total,78827,12181,"Census Tract 49, Hamilton County, OH",14000US39061004900
2013,2013,0,Total,17962,6251,"Census Tract 69, Hamilton County, OH",14000US39061006900
2013,2013,0,Total,91125,15983,"Census Tract 242, Hamilton County, OH",14000US39061024200
2013,2013,0,Total,45575,10869,"Census Tract 57.01, Hamilton County, OH",14000US39061005701
2013,2013,0,Total,29301,2681,"Census Tract 100.04, Hamilton County, OH",14000US39061010004
2013,2013,0,Total,39672,7617,"Census Tract 83, Hamilton County, OH",14000US39061008300
2013,2013,0,Total,55042,11989,"Census Tract 46.02, Hamilton County, OH",14000US39061004602
2013,2013,0,Total,163686,20869,"Census Tract 244, Hamilton County, OH",14000US39061024400
2013,2013,0,Total,44028,13881,"Census Tract 18, Hamilton County, OH",14000US39061001800
2013,2013,0,Total,31250,8334,"Census Tract 32, Hamilton County, OH",14000US39061003200
2013,2013,0,Total,41912,14280,"Census Tract 100.05, Hamilton County, OH",14000US39061010005
2013,2013,0,Total,29327,8644,"Census Tract 70, Hamilton County, OH",14000US39061007000
2013,2013,0,Total,77379,8287,"Census Tract 250.01, Hamilton County, OH",14000US39061025001
2013,2013,0,Total,30500,14245,"Census Tract 84, Hamilton County, OH",14000US39061008400
2013,2013,0,Total,59000,10533,"Census Tract 20, Hamilton County, OH",14000US39061002000
2013,2013,0,Total,50825,3921,"Census Tract 57.02, Hamilton County, OH",14000US39061005702
2013,2013,0,Total,36868,5473,"Census Tract 101, Hamilton County, OH",14000US39061010100
2013,2013,0,Total,14286,8295,"Census Tract 263, Hamilton County, OH",14000US39061026300
2013,2013,0,Total,70915,10694,"Census Tract 50, Hamilton County, OH",14000US39061005000
2013,2013,0,Total,25625,10122,"Census Tract 39, Hamilton County, OH",14000US39061003900
2013,2013,0,Total,18114,2715,"Census Tract 85.01, Hamilton County, OH",14000US39061008501
2013,2013,0,Total,39888,8974,"Census Tract 71, Hamilton County, OH",14000US39061007100
2013,2013,0,Total,12737,2531,"Census Tract 264, Hamilton County, OH",14000US39061026400
2013,2013,0,Total,29744,4571,"Census Tract 102.01, Hamilton County, OH",14000US39061010201
2013,2013,0,Total,71369,23200,"Census Tract 46.03, Hamilton County, OH",14000US39061004603
2013,2013,0,Total,57171,13503,"Census Tract 7, Hamilton County, OH",14000US39061000700
2013,2013,0,Total,46488,7236,"Census Tract 58, Hamilton County, OH",14000US39061005800
2013,2013,0,Total,37500,11972,"Census Tract 265, Hamilton County, OH",14000US39061026500
2013,2013,0,Total,8186,1917,"Census Tract 85.02, Hamilton County, OH",14000US39061008502
2013,2013,0,Total,49615,7043,"Census Tract 102.02, Hamilton County, OH",14000US39061010202
2013,2013,0,Total,16307,6982,"Census Tract 9, Hamilton County, OH",14000US39061000900
2013,2013,0,Total,38548,8804,"Census Tract 72, Hamilton County, OH",14000US39061007200
2013,2013,0,Total,55865,26302,"Census Tract 266, Hamilton County, OH",14000US39061026600
2013,2013,0,Total,90662,20882,"Census Tract 51, Hamilton County, OH",14000US39061005100
2013,2013,0,Total,29769,6674,"Census Tract 28, Hamilton County, OH",14000US39061002800
2013,2013,0,Total,23468,9098,"Census Tract 103, Hamilton County, OH",14000US39061010300
2013,2013,0,Total,15898,2698,"Census Tract 86.01, Hamilton County, OH",14000US39061008601
2013,2013,0,Total,16630,4387,"Census Tract 267, Hamilton County, OH",14000US39061026700
2013,2013,0,Total,14805,3130,"Census Tract 33, Hamilton County, OH",14000US39061003300
2013,2013,0,Total,54917,8297,"Census Tract 59, Hamilton County, OH",14000US39061005900
2013,2013,0,Total,31032,2714,"Census Tract 73, Hamilton County, OH",14000US39061007300
2013,2013,0,Total,39801,5129,"Census Tract 104, Hamilton County, OH",14000US39061010400
2013,2013,0,Total,94464,15505,"Census Tract 268, Hamilton County, OH",14000US39061026800
2013,2013,0,Total,57344,14273,"Census Tract 46.04, Hamilton County, OH",14000US39061004604
2013,2013,0,Total,19088,7097,"Census Tract 88, Hamilton County, OH",14000US39061008800
2013,2013,0,Total,35625,9617,"Census Tract 40, Hamilton County, OH",14000US39061004000
2013,2013,0,Total,62994,13777,"Census Tract 52, Hamilton County, OH",14000US39061005200
2013,2013,0,Total,10218,2311,"Census Tract 269, Hamilton County, OH",14000US39061026900
