date,temperature,humidity,wind_speed,precipitation
2019-10-01,73.4,83.1,2.2,0
2019-10-02,75.9,74.4,4.6,0
2019-10-03,74.3,75.1,5.7,0
2019-10-04,62.5,58.6,8.8,0
2019-10-05,60.6,67.8,2.9,0
2019-10-06,64.8,85.1,4.2,0.03
2019-10-07,56.4,92.7,1.1,0.66
2019-10-08,56.3,79,4.6,0.01
2019-10-09,56.9,82.8,2.5,0
2019-10-10,58.6,90.6,1.6,0
2019-10-11,64.1,82.8,7.7,0
2019-10-12,46.4,73.9,6.8,0.14
2019-10-13,46.2,73.1,6,0
2019-10-14,52.9,66,4.2,0
2019-10-15,50.1,82,4.4,0
2019-10-16,52.6,75.7,10.6,0.29
2019-10-17,50.3,61.5,7.6,0
2019-10-18,45.1,81.5,2.9,0
2019-10-19,45.2,86.7,1.2,0
2019-10-20,60.7,79.6,1.3,0
2019-10-21,56.6,92.8,4.3,0
2019-10-22,58.1,67.5,12.6,0.06
2019-10-23,52.2,56,8.3,0
2019-10-24,53.6,66.6,2.7,0
2019-10-25,53.8,80.8,2.3,0
2019-10-26,56,93.2,7.2,0.06
2019-10-27,54.7,80.3,7.7,0.66
2019-10-28,48.4,91.4,1.6,0
2019-10-29,50.6,92.9,1.5,0
2019-10-30,54.3,96.5,3,0
2019-10-31,51,89.4,10.1,1.22
2019-11-01,36.6,71.1,7,0.51
2019-11-02,33.1,87.3,2.1,0
2019-11-03,41.9,67.3,4,0
2019-11-04,48.1,59.8,6.8,0
2019-11-05,43.8,78.2,3,0.03
2019-11-06,39.8,86.2,1.6,0.12
2019-11-07,43.6,89.6,5.8,0.28
2019-11-08,29.2,66.3,3.5,0.3
2019-11-09,33.8,72,4,0
2019-11-10,48.9,61.5,7.3,0
2019-11-11,39.6,86.5,9.2,0
2019-11-12,24,75.7,8.7,0.14
2019-11-13,21.6,76.2,2.3,0
2019-11-14,32.7,74.4,4.1,0
2019-11-15,29.7,81.2,2.3,0
2019-11-16,34,76,5.8,0
2019-11-17,33,80.9,0.8,0
2019-11-18,39.3,84.9,4.5,0
2019-11-19,42.5,85.5,2.7,0
2019-11-20,45.4,86.9,3.7,0.02
2019-11-21,46.8,82.1,7.3,0
2019-11-22,43,84.9,7,0.27
2019-11-23,35.3,91.4,5.9,0.02
2019-11-24,38.6,82.8,8.4,0.2
2019-11-25,38.7,87.5,2.8,0
2019-11-26,39.7,86.7,2.6,0
2019-11-27,50.4,72.3,16.6,0.43
2019-11-28,38.9,65.1,6.5,0.05
2019-11-29,39.8,74.5,3,0
2019-11-30,41.1,92.3,4.4,0.46
2019-12-01,46.7,81.6,11.8,0.45
2019-12-02,36.7,88.3,8.2,0.09
2019-12-03,34.2,79.8,7.8,0.13
2019-12-04,40.8,65,9.6,0
2019-12-05,37.5,71.9,2,0
2019-12-06,40.1,83.5,4.7,0
2019-12-07,27.7,86.2,1.3,0.04
2019-12-08,40.8,78,4.8,0
2019-12-09,55.3,85.2,11.6,0.09
2019-12-10,33.7,65.5,12.2,0.2
2019-12-11,26.8,67.3,6.5,0
2019-12-12,30.6,75.5,1.8,0
2019-12-13,40.1,89.6,2.3,0
2019-12-14,41.2,86.6,7.9,0.3
2019-12-15,33.8,83.6,6.2,0.03
2019-12-16,33.7,93.5,7.2,0.34
2019-12-17,32.6,82.8,10.8,0.91
2019-12-18,25.9,69.4,10.2,0.01
2019-12-19,26.5,66.8,3.9,0
2019-12-20,31.3,80,1.5,0
2019-12-21,35.2,79.8,1.5,0
2019-12-22,31.2,86.7,0.8,0
2019-12-23,33.6,88.7,1.2,0
2019-12-24,32.8,93,0.4,0
2019-12-25,33.8,91.3,0.5,0
2019-12-26,46.8,85.1,2.1,0
2019-12-27,53.1,82.6,3.2,0
2019-12-28,50.7,87.4,4.5,0
2019-12-29,56.5,94,4.4,0.2
2019-12-30,45.4,74.3,16.2,0.84
2019-12-31,37.3,66.9,15.7,0
2020-01-01,39,63,10.1,0
2020-01-02,43.8,78.5,4.7,0
2020-01-03,50,96.9,2.3,0.64
2020-01-04,41.6,88,7,0.53
2020-01-05,37.9,66.9,10.3,0.08
2020-01-06,36.5,68.9,4.7,0
2020-01-07,38,62.8,6.5,0
2020-01-08,35.1,51.5,8.3,0
2020-01-09,41.7,55.3,7,0
2020-01-10,54.9,80.4,5.9,0.01
2020-01-11,59.9,86.2,15.1,0.45
2020-01-12,40.8,82.3,6.2,0.57
